Name,Phone,Hours,Rating,Address,URL
Antigua and Barbuda Electoral Commission St George Constituency Registration Office,+1 268-562-4191,"Tuesday, 8:30 AM to 4 PM; Wednesday, 8:30 AM to 4 PM; Thursday, 8:30 AM to 4 PM; Friday, 8:30 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8:30 AM to 4 PM. Hide open hours for the week",5,"456M+9C6, Potters Village, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Electoral+Commission+St+George+Constituency+Registration+Office/@17.110501,-61.8551728,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c12930032d7173f:0xcd1c63fa2de8d2c7!8m2!3d17.110501!4d-61.817064!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11w35b8klh?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
One Stop Employment Centre Department Of Labour,+1 268-562-8533,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",4,"45F9+Q45, Old Parham Rd, St John's, Antigua & Barbuda","https://www.google.com/maps/place/One+Stop+Employment+Centre+Department+Of+Labour/@17.110501,-61.8551728,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293c927877f37:0x39d5674028952533!8m2!3d17.1243988!4d-61.832147!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11c44nk0x_?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Office of the Ombudsman of Antigua and Barbuda,+1 268-462-9364,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 4:30 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",4,"4598+MG3, Prime Minister's Dr, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Office+of+the+Ombudsman+of+Antigua+and+Barbuda/@17.110501,-61.8551728,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293b6166a0ca3:0x2bb403138294eaa5!8m2!3d17.1191457!4d-61.8337172!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F1pycjjbrp?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Citizenship By Investment Unit,+1 268-481-8400,"Tuesday, 9 AM to 4 PM; Wednesday, 9 AM to 4 PM; Thursday, 9 AM to 4 PM; Friday, 9 AM to 4 PM; Saturday, Closed; Sunday, Closed; Monday, 9 AM to 4 PM. Hide open hours for the week",5,"45C8+6V4, Factory Rd, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Citizenship+By+Investment+Unit/@17.110501,-61.8551728,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293d0c9609165:0xf6c5dbb94398ea47!8m2!3d17.1205024!4d-61.8327876!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11gsmdp9x3?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Government House,+1 268-462-0003,Add hours,4.6,"45F5+5Q3, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Government+House/@17.1228807,-61.8786726,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293829be2a8e5:0x2557a6c2eabb7b03!8m2!3d17.1228807!4d-61.8405638!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMmFHWnhjRzluUlJBQuABAPoBBAgZEBI!16s%2Fg%2F11fjcmyw6z?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua and Barbuda Transport Board,+1 268-484-4600,"Tuesday, 8 AM to 4 PM; Wednesday, 8 AM to 4 PM; Thursday, 8 AM to 4 PM; Friday, 8 AM to 2:30 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4 PM. Hide open hours for the week",4.3,"452Q+HQM, Herbert's Rd, Potters Village, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Transport+Board/@17.1014658,-61.8486879,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c12939bec8f415b:0x641023a7f0face98!8m2!3d17.1014658!4d-61.8105791!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEWZHJpdmVyc19saWNlbnNlX29mZmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOcGJuQmZia1JSRUFF4AEA-gEECAAQGQ!16s%2Fg%2F11b7lpq67k?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua and Barbuda Electoral Commission Central Registration,+1 268-562-4191,Add hours,4,"4598+RXP, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Electoral+Commission+Central+Registration/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c12939338b4c2c5:0x4481dbec52238c31!8m2!3d17.1195903!4d-61.8325517!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11m_s9lyp0?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Parliament of Antigua and Barbuda,Send to phone,Add hours,4,"4598+9PF, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Parliament+of+Antigua+and+Barbuda/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293b646adcb11:0x5899e71bec3d6b92!8m2!3d17.1184391!4d-61.833197!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEKZ292ZXJubWVudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUExVcElWbHBCRUFF4AEA-gEECD4QLQ!16s%2Fg%2F1hf17p1mq?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Ministry of Agriculture,+1 268-462-1007,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",5,"4596+C57, Independence Ave, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Ministry+of+Agriculture/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293b523decf8d:0x4a6bfc9ff85d8272!8m2!3d17.1185389!4d-61.839573!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpnb3Zlcm5tZW504AEA!16s%2Fg%2F1hfc1drgp?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
ADOMS,Send to phone,"Tuesday, 9 AM to 3:30 PM; Wednesday, 9 AM to 3:30 PM; Thursday, 9 AM to 3:30 PM; Friday, 9 AM to 2 PM; Saturday, Closed; Sunday, Closed; Monday, 9 AM to 3:30 PM. Hide open hours for the week",5,"45G4+82F, Corner of and Streets, Dickenson Bay St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/ADOMS/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1292346bcf5f7f:0xdc03b4cbee86a355!8m2!3d17.1258168!4d-61.8449456!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11c538dj5p?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua and Barbuda Civil Registry,+1 268-562-9687,"Tuesday, 8:30 AM to 3 PM; Wednesday, 8:30 AM to 3 PM; Thursday, 8:30 AM to 3 PM; Friday, 8:30 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8:30 AM to 3 PM. Hide open hours for the week",3.7,"45C5+GM2, High St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Civil+Registry/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c12938001ebc587:0xdea2c49218087703!8m2!3d17.1212555!4d-61.8408639!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEOY2l2aWxfcmVnaXN0cnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUm9YeTEyU1dSUkVBReABAPoBBAhsECI!16s%2Fg%2F11qn9yyfgx?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Ministry of Education, Sports & Creative Industries",+1 268-462-0192,"Tuesday, 8 to 10:30 AM; Wednesday, 8 AM to 12 AM; Thursday, 12 to 7:30 AM, 8 AM to 4:30 PM; Friday, Open 24 hours; Saturday, Closed; Sunday, Open 24 hours; Monday, 8 AM to 4:30 PM. Hide open hours for the week",3.9,"4597+9XH, Queen Elizabeth Highway Saint John's Antigua, and Barbuda, Antigua & Barbuda","https://www.google.com/maps/place/Ministry+of+Education,+Sports+%26+Creative+Industries/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293f8a94ea32d:0x413a8f5d4cf22d3c!8m2!3d17.118431!4d-61.8350105!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEQY29ycG9yYXRlX29mZmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOMWFrMXhkVUpuRUFF4AEA-gEECAAQJg!16s%2Fg%2F11gh9p2z8y?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Board of Education,+1 268-463-9025,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",N/A,"45F4+C3Q, Bishopsgate St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Board+of+Education/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c129235ad554bd5:0xe214370b4611aca9!8m2!3d17.1235763!4d-61.8447765!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpnb3Zlcm5tZW504AEA!16s%2Fg%2F11r8ln9lv?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Medical Benefits Scheme Health & Conference Center,+1 268-481-6413,"Tuesday, 8 AM to 3 PM; Wednesday, 8 AM to 3 PM; Thursday, 8 AM to 3 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 3 PM. Hide open hours for the week",3,"4595+V8P, Nevis St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Medical+Benefits+Scheme+Health+%26+Conference+Center/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c12924ac61c668b:0xf90c89f9dbe42f7d!8m2!3d17.1197028!4d-61.8416574!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11b7dvw7mh?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua and Barbuda Statistics Division,+1 268-562-7495,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",N/A,"45C4+VJR, Church St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Statistics+Division/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293d849fcf4c1:0xfff432db5cd628d3!8m2!3d17.1222463!4d-61.8434888!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11gr5y1tpt?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Directorate of Gender Affairs,+1 268-560-5207,"Tuesday, 8:30 AM to 4:30 PM; Wednesday, 8:30 AM to 4:30 PM; Thursday, 8:30 AM to 4:30 PM; Friday, 8:30 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8:30 AM to 4:30 PM. Hide open hours for the week",3.5,"4594+X4G, Nevis St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Directorate+of+Gender+Affairs/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c12924a44c04b6b:0xc87fb916a35da03!8m2!3d17.1199458!4d-61.8446626!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARBjb3Jwb3JhdGVfb2ZmaWNl4AEA!16s%2Fg%2F11dx91pbdf?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua and Barbuda Electoral Commission Headquarters,+1 268-562-4191,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",N/A,"4588+XGR, Queen Elizabeth Hwy, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Electoral+Commission+Headquarters/@17.1195903,-61.8706605,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c129300106ffb67:0xda92898a17ec8386!8m2!3d17.1174663!4d-61.833768!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11w9hhj0x5?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
